core_id,depth_top_cm,depth_bottom_cm,soc_g_kg,bulk_density_g_cm3
EG01,0,5,28.3,0.62
EG01,5,10,20,0.68
EG01,10,20,25,0.74
EG01,20,30,18.4,0.81
EG01,30,50,11,0.89
EG01,50,75,12,0.95
EG01,75,100,4,1.01
EG02,0,5,25,0.55
EG02,5,10,30.2,0.61
EG02,10,20,24,0.67
EG02,20,30,14,0.73
EG02,30,50,17.5,0.82
EG02,50,75,14,0.91
EG02,75,100,10,0.97
EG03,0,5,25,0.71
EG03,5,10,19.8,0.76
EG03,10,20,10,0.82
EG03,20,30,15.0,0.88
EG03,30,50,11,0.93
EG03,50,75,10.1,0.99
EG04,0,5,38.9,0.52
EG04,5,10,35.4,0.57
EG04,10,20,30.1,0.63
EG04,20,30,24.7,0.70
EG04,30,50,19.3,0.79
EG04,50,75,15.6,0.87
EG04,75,100,12.8,0.94
EG05,0,5,35,0.66
EG05,5,10,23.0,0.71
EG05,10,20,20.2,0.77
EG05,20,30,12,0.83
EG05,30,50,13.8,0.90
EG05,50,75,11.3,0.96
EG06,0,5,20,0.58
EG06,5,10,27.8,0.64
EG06,10,20,25,0.70
EG06,20,30,25,0.77
EG06,30,50,15.9,0.85
